slug,name,category,priority,notes
warhammer-40000-introductory-set-2023-eng,40k Introductory Set,40k Starter,high,Entry price point ~$69
warhammer-40000-starter-set-2023-eng,40k Starter Set,40k Starter,high,Mid tier ~$114
warhammer-40000-ultimate-starter-set-2023-eng,40k Ultimate Starter Set,40k Starter,high,Top tier ~$220
age-of-sigmar-starter-set-2024-eng,AoS Starter Set,AoS Starter,high,Stormcast vs Skaven
age-of-sigmar-ultimate-starter-set-2024-eng,AoS Ultimate Starter Set,AoS Starter,high,Spearhead box
combat-patrol-space-marines-2023,Combat Patrol: Space Marines,Combat Patrol,high,Flagship faction
combat-patrol-necrons-2023,Combat Patrol: Necrons,Combat Patrol,high,
combat-patrol-tyranids-2023,Combat Patrol: Tyranids,Combat Patrol,high,
combat-patrol-chaos-space-marines-2024,Combat Patrol: Chaos Space Marines,Combat Patrol,medium,
combat-patrol-chaos-daemons-2022,Combat Patrol: Chaos Daemons,Combat Patrol,medium,Older box
combat-patrol-blood-angels-2024,Combat Patrol: Blood Angels,Combat Patrol,medium,
combat-patrol-dark-angels-2024,Combat Patrol: Dark Angels,Combat Patrol,medium,
combat-patrol-tau-empire-2024,Combat Patrol: Tau Empire,Combat Patrol,medium,
combat-patrol-genestealer-cults-2024,Combat Patrol: Genestealer Cults,Combat Patrol,medium,
combat-patrol-adeptus-custodes-2024,Combat Patrol: Adeptus Custodes,Combat Patrol,medium,
combat-patrol-adepta-soritas-2024,Combat Patrol: Adepta Sororitas,Combat Patrol,medium,
combat-patrol-imperial-agents-2024,Combat Patrol: Imperial Agents,Combat Patrol,medium,
combat-patrol-grey-knights-2025,Combat Patrol: Grey Knights,Combat Patrol,medium,
combat-patrol-black-templars-2025,Combat Patrol: Black Templars,Combat Patrol,medium,
combat-patrol-death-guard-2025,Combat Patrol: Death Guard,Combat Patrol,medium,
combat-patrol-emperors-children-2025,Combat Patrol: Emperor's Children,Combat Patrol,medium,
combat-patrol-world-eaters-2025,Combat Patrol: World Eaters,Combat Patrol,medium,
combat-patrol-aeldari-2025,Combat Patrol: Aeldari,Combat Patrol,medium,
combat-patrol-tyranid-assault-brood-2025,Combat Patrol: Tyranid Assault Brood,Combat Patrol,medium,
combat-patrol-astra-militarum-2025,Combat Patrol: Astra Militarum,Combat Patrol,medium,
combat-patrol-drukhari-2025,Combat Patrol: Drukhari,Combat Patrol,medium,
combat-patrol-thousand-sons-2025,Combat Patrol: Thousand Sons,Combat Patrol,medium,
combat-patrol-leagues-of-votann-2025,Combat Patrol: Leagues of Votann,Combat Patrol,medium,
combat-patrol-raven-guard-2025,Combat Patrol: Raven Guard,Combat Patrol,medium,
combat-patrol-imperial-fists-2025,Combat Patrol: Imperial Fists,Combat Patrol,medium,
combat-patrol-iron-warriors-2026,Combat Patrol: Iron Warriors,Combat Patrol,medium,New 2026
combat-patrol-aeldari-corsairs-2026,Combat Patrol: Aeldari Corsairs,Combat Patrol,medium,New 2026
combat-patrol-adeptus-mechanicus-2023,Combat Patrol: Adeptus Mechanicus,Combat Patrol,medium,
