date,asin,name,edition,category,market,is_oos,price,source
2026-05-13,B08CFDSXNZ,40k Command Edition,9th Ed,40k Starter,UK,True,0.0,keepa
2026-05-13,B09CG7L7KC,40k Recruit Edition,9th Ed,40k Starter,UK,True,0.0,keepa
2026-05-13,B09CG7L7KC,40k Recruit Edition,9th Ed,40k Starter,US,True,0.0,keepa
2026-05-13,B09CG7LC6V,40k Elite Edition,9th Ed,40k Starter,UK,True,0.0,keepa
2026-05-13,B09CG7LC6V,40k Elite Edition,9th Ed,40k Starter,US,True,0.0,keepa
2023-07-27,B0CBKH9V27,40k Introductory Set,10th Ed,40k Starter,UK,True,0.0,keepa
2024-12-12,B0CBKH9V27,40k Introductory Set,10th Ed,40k Starter,UK,False,54.81,keepa
2024-12-13,B0CBKH9V27,40k Introductory Set,10th Ed,40k Starter,UK,False,63.91,keepa
2024-12-22,B0CBKH9V27,40k Introductory Set,10th Ed,40k Starter,UK,True,0.0,keepa
2023-07-17,B0CBKH9V27,40k Introductory Set,10th Ed,40k Starter,US,True,0.0,keepa
2023-07-25,B0CBKJVLFB,40k Combat Patrol Starter Set,10th Ed,40k Starter,UK,True,0.0,keepa
2023-07-17,B0CBKJVLFB,40k Combat Patrol Starter Set,10th Ed,40k Starter,US,True,0.0,keepa
2023-07-16,B0CBKLS5XD,40k Starter Set,10th Ed,40k Starter,UK,True,0.0,keepa
2023-07-17,B0CBKLS5XD,40k Starter Set,10th Ed,40k Starter,US,True,0.0,keepa
