month,game_slug,game_name,avg_players,peak_players,source,as_of_date
2025-01,darktide,Darktide,6746.6,,recovered_from_html,2026-05-20
2025-02,darktide,Darktide,5258.3,,recovered_from_html,2026-05-20
2025-03,darktide,Darktide,4952.1,,recovered_from_html,2026-05-20
2025-04,darktide,Darktide,5589.3,,recovered_from_html,2026-05-20
2025-05,darktide,Darktide,5728.1,,recovered_from_html,2026-05-20
2025-06,darktide,Darktide,11593.3,,recovered_from_html,2026-05-20
2025-07,darktide,Darktide,9943.8,,recovered_from_html,2026-05-20
2025-08,darktide,Darktide,5347.0,,recovered_from_html,2026-05-20
2025-09,darktide,Darktide,4749.6,,recovered_from_html,2026-05-20
2025-10,darktide,Darktide,5779.8,,recovered_from_html,2026-05-20
2025-11,darktide,Darktide,5699.5,,recovered_from_html,2026-05-20
2025-12,darktide,Darktide,14499.2,,recovered_from_html,2026-05-20
2026-01,darktide,Darktide,8609.2,,recovered_from_html,2026-05-20
2025-02,space_marine_2,Space Marine 2,8455.3,,recovered_from_html,2026-05-20
2025-03,space_marine_2,Space Marine 2,6652.4,,recovered_from_html,2026-05-20
2025-04,space_marine_2,Space Marine 2,7842.3,,recovered_from_html,2026-05-20
2025-05,space_marine_2,Space Marine 2,7612.2,,recovered_from_html,2026-05-20
2025-06,space_marine_2,Space Marine 2,8204.4,,recovered_from_html,2026-05-20
2025-07,space_marine_2,Space Marine 2,9494.6,,recovered_from_html,2026-05-20
2025-08,space_marine_2,Space Marine 2,7603.1,,recovered_from_html,2026-05-20
2025-09,space_marine_2,Space Marine 2,14785.0,,recovered_from_html,2026-05-20
2025-10,space_marine_2,Space Marine 2,10861.6,,recovered_from_html,2026-05-20
2025-11,space_marine_2,Space Marine 2,10139.6,,recovered_from_html,2026-05-20
2025-12,space_marine_2,Space Marine 2,11520.3,,recovered_from_html,2026-05-20
2026-01,space_marine_2,Space Marine 2,12758.5,,recovered_from_html,2026-05-20
2025-02,tw_wh3,Total War: Warhammer III,20542.3,,recovered_from_html,2026-05-20
2025-03,tw_wh3,Total War: Warhammer III,20783.6,,recovered_from_html,2026-05-20
2025-04,tw_wh3,Total War: Warhammer III,21410.1,,recovered_from_html,2026-05-20
2025-05,tw_wh3,Total War: Warhammer III,19026.8,,recovered_from_html,2026-05-20
2025-06,tw_wh3,Total War: Warhammer III,19960.2,,recovered_from_html,2026-05-20
2025-07,tw_wh3,Total War: Warhammer III,22361.0,,recovered_from_html,2026-05-20
2025-08,tw_wh3,Total War: Warhammer III,20574.2,,recovered_from_html,2026-05-20
2025-09,tw_wh3,Total War: Warhammer III,21789.7,,recovered_from_html,2026-05-20
2025-10,tw_wh3,Total War: Warhammer III,20665.2,,recovered_from_html,2026-05-20
2025-11,tw_wh3,Total War: Warhammer III,19758.0,,recovered_from_html,2026-05-20
2025-12,tw_wh3,Total War: Warhammer III,34996.8,,recovered_from_html,2026-05-20
2026-01,tw_wh3,Total War: Warhammer III,29720.3,,recovered_from_html,2026-05-20
2025-02,vermintide_2,Vermintide 2,2478.6,,recovered_from_html,2026-05-20
2025-03,vermintide_2,Vermintide 2,2303.7,,recovered_from_html,2026-05-20
2025-04,vermintide_2,Vermintide 2,1875.3,,recovered_from_html,2026-05-20
2025-05,vermintide_2,Vermintide 2,2111.0,,recovered_from_html,2026-05-20
2025-06,vermintide_2,Vermintide 2,2176.0,,recovered_from_html,2026-05-20
2025-07,vermintide_2,Vermintide 2,1718.3,,recovered_from_html,2026-05-20
2025-08,vermintide_2,Vermintide 2,1709.2,,recovered_from_html,2026-05-20
2025-09,vermintide_2,Vermintide 2,1769.0,,recovered_from_html,2026-05-20
2025-10,vermintide_2,Vermintide 2,2727.7,,recovered_from_html,2026-05-20
2025-11,vermintide_2,Vermintide 2,8928.6,,recovered_from_html,2026-05-20
2025-12,vermintide_2,Vermintide 2,7477.2,,recovered_from_html,2026-05-20
2026-01,vermintide_2,Vermintide 2,3848.0,,recovered_from_html,2026-05-20
