date,channel,video_slug,video_title,views,source
2023-03-14,Majorkill,mk_doom_slayer_marine,Doom Slayer Vs Space Marine | ANIMATED,1900000,wayback_seed
2024-01-26,Majorkill,mk_doom_slayer_marine,Doom Slayer Vs Space Marine | ANIMATED,2100000,wayback_seed
2023-03-14,Majorkill,mk_traitor_primarchs,What did the Traitor Primarchs do after the Horus Heresy?,1000000,wayback_seed
2024-01-26,Majorkill,mk_traitor_primarchs,What did the Traitor Primarchs do after the Horus Heresy?,1100000,wayback_seed
2023-03-14,Majorkill,mk_guilliman_beast,Why Roboute Guilliman is an Absolute BEAST,1000000,wayback_seed
2024-01-26,Majorkill,mk_guilliman_beast,Why Roboute Guilliman is an Absolute BEAST,1100000,wayback_seed
2023-02-28,Squidmar Miniatures,squidmar_fiverr,I paid Artists on Fiverr to paint my Warhammer - Here's what happened!,2300000,wayback_seed
2024-02-28,Squidmar Miniatures,squidmar_fiverr,I paid Artists on Fiverr to paint my Warhammer - Here's what happened!,2300000,wayback_seed
2023-02-28,Squidmar Miniatures,squidmar_henry_cavill,Painting Henry Cavill's dream Warhammer army!,1100000,wayback_seed
2024-02-28,Squidmar Miniatures,squidmar_henry_cavill,Painting Henry Cavill's dream Warhammer army!,1800000,wayback_seed
2023-02-28,Squidmar Miniatures,squidmar_65k_printer,"Comparing a $65,000 3D Printer to a $350 home 3D printer",1500000,wayback_seed
2024-02-28,Squidmar Miniatures,squidmar_65k_printer,"Comparing a $65,000 3D Printer to a $350 home 3D printer",1700000,wayback_seed
2023-01-13,Luetin09,luetin_wtf_is_40k,WTF IS WARHAMMER 40K? - EXPLAINED - FULL BEGINNER'S GUIDE + EVERY MAJOR FACTION,1810000,wayback_seed
2024-03-04,Luetin09,luetin_wtf_is_40k,WTF IS WARHAMMER 40K? - EXPLAINED - FULL BEGINNER'S GUIDE + EVERY MAJOR FACTION,2520000,wayback_seed
2023-01-13,Luetin09,luetin_dark_beginnings,DARK BEGINNINGS Necrons Old Ones & Eldar,2000000,wayback_seed
2024-03-04,Luetin09,luetin_dark_beginnings,DARK BEGINNINGS Necrons Old Ones & Eldar,2300000,wayback_seed
2023-01-13,Luetin09,luetin_eldar_rise_fall,ELDAR - Rise and Fall of an Empire,1600000,wayback_seed
2024-03-04,Luetin09,luetin_eldar_rise_fall,ELDAR - Rise and Fall of an Empire,1900000,wayback_seed
2023-01-13,Luetin09,luetin_emperor_part1,THE EMPEROR OF MAN [1] The Rise of Humanity,8100000,wayback_seed
2024-03-04,Luetin09,luetin_emperor_part1,THE EMPEROR OF MAN [1] The Rise of Humanity,9200000,wayback_seed
