date,channel,subscribers,videos,source
2023-02-13,Warhammer Official,610000,,wayback_seed
2024-02-21,Warhammer Official,696000,,wayback_seed
2025-02-26,Warhammer Official,705000,,wayback_seed
2026-02-26,Warhammer Official,705000,,wayback_seed
2023-03-14,Majorkill,465000,636,wayback_seed
2024-01-26,Majorkill,575000,802,wayback_seed
2023-02-28,Squidmar Miniatures,534000,,wayback_seed
2024-02-28,Squidmar Miniatures,613000,244,wayback_seed
2023-02-15,WesHammer,569000,,wayback_seed
2024-01-31,WesHammer,676000,380,wayback_seed
2023-01-13,Luetin09,710000,,wayback_seed
2024-03-04,Luetin09,811000,1900,wayback_seed
