date,channel_label,channel_id,subscribers,total_views,video_count,source
2025-02-21,Warhammer_Official,UCwdh3MTrFq3sXlB4ct8B-Fg,848000,,1200,manual_seed
2026-02-24,Warhammer_Official,UCwdh3MTrFq3sXlB4ct8B-Fg,992000,147700000,1315,manual_seed
2025-01-30,WesHammer,UCSDj6ttwzj2sr464jDdg_pA,828000,,440,manual_seed
2026-02-23,WesHammer,UCSDj6ttwzj2sr464jDdg_pA,894000,399800000,449,manual_seed
2025-02-12,Luetin09,UC8RfCCzWsMgNspTI-GTFenQ,907000,,1930,manual_seed
2026-02-24,Luetin09,UC8RfCCzWsMgNspTI-GTFenQ,959000,260300000,1947,manual_seed
2025-02-23,Squidmar_Miniatures,UCDvZTWvHZPTxJ4K1yTD2a1g,700000,,340,manual_seed
2026-02-23,Squidmar_Miniatures,UCDvZTWvHZPTxJ4K1yTD2a1g,775000,110300000,349,manual_seed
2025-02-22,Majorkill,UC_wb8IVtmXwil8bN3IdVtZw,680000,,1000,Wayback
2026-02-23,Majorkill,UC_wb8IVtmXwil8bN3IdVtZw,697000,392400000,1118,manual_seed
2023-06-30,Auspex_Tactics,UC6Gco9PWxmJmJ5CqfbChuiQ,238000,,,manual_seed
2024-02-29,Auspex_Tactics,UC6Gco9PWxmJmJ5CqfbChuiQ,279000,,,manual_seed
2025-02-28,Auspex_Tactics,UC6Gco9PWxmJmJ5CqfbChuiQ,344000,,,manual_seed
2023-06-30,Valrak,UCrCHY6wVw5D7hMsM-LPBr1w,197000,,,manual_seed
2024-02-29,Valrak,UCrCHY6wVw5D7hMsM-LPBr1w,217000,,,manual_seed
2025-02-28,Valrak,UCrCHY6wVw5D7hMsM-LPBr1w,256000,,,manual_seed
2026-02-28,Valrak,UCrCHY6wVw5D7hMsM-LPBr1w,282000,,,manual_seed
