date,channel_label,video_id,video_slug,title,views,content_type
2026-09-06,Auspex_Tactics,6dVa0W4vzgg,auspex_tactics_games_workshop_have_big_questions_to_answer_what_are_people,Games Workshop Have BIG Questions To Answer! What Are People REALLY Asking their Q+A?,146932,Entertainment / Commentary
2026-09-06,Auspex_Tactics,OnUs5MWVuWI,auspex_tactics_space_marine_answers_gw_roll_back_proxy_system_stat_change_t,"Space Marine ANSWERS – GW Roll Back Proxy System, Stat Change Teasers + What’s Not Going Legends?",145123,Entertainment / Commentary
2026-09-06,Auspex_Tactics,VmO7mEApokY,auspex_tactics_t5_space_marines_means_what_analysing_the_statline_buffs,T5 Space Marines Means WHAT? Analysing the Statline Buffs!,155372,Entertainment / Commentary
2023-01-02,Luetin09,44UqfQWdqLk,luetin09_40k_astartes_history_primarch_to_primaris_warhammer,"40K - ASTARTES HISTORY - PRIMARCH to PRIMARIS | Warhammer 40,000 Lore",2598094,Lore Education
2024-01-24,Luetin09,44UqfQWdqLk,luetin09_40k_astartes_history_primarch_to_primaris_warhammer,"40K - ASTARTES HISTORY - PRIMARCH to PRIMARIS | Warhammer 40,000 Lore",3009700,Lore Education
2026-09-06,Luetin09,44UqfQWdqLk,luetin09_40k_astartes_history_primarch_to_primaris_warhammer,"40K - ASTARTES HISTORY - PRIMARCH to PRIMARIS | Warhammer 40,000 Lore",3802935,Lore Education
2023-01-15,Luetin09,HkJpFvJQp4M,luetin09_40k_hive_cities_structure_economy_currency_daily_li,"40K - HIVE CITIES - Structure, Economy, Currency, Daily Life | WARHAMMER 40,000 Lore/History",2102918,Lore Education
2024-01-05,Luetin09,HkJpFvJQp4M,luetin09_40k_hive_cities_structure_economy_currency_daily_li,"40K - HIVE CITIES - Structure, Economy, Currency, Daily Life | WARHAMMER 40,000 Lore/History",2611593,Lore Education
2025-01-15,Luetin09,HkJpFvJQp4M,luetin09_40k_hive_cities_structure_economy_currency_daily_li,"40K - HIVE CITIES - Structure, Economy, Currency, Daily Life | WARHAMMER 40,000 Lore/History",3192778,Lore Education
2026-09-06,Luetin09,HkJpFvJQp4M,luetin09_40k_hive_cities_structure_economy_currency_daily_li,"40K - HIVE CITIES - Structure, Economy, Currency, Daily Life | WARHAMMER 40,000 Lore/History",3984813,Lore Education
