title,channel_id,subscribers,views,videos,country,custom_url
Warhammer,UCwdh3MTrFq3sXlB4ct8B-Fg,991000,147631533,1315,GB,@officialwarhammer
Luetin09,UC8RfCCzWsMgNspTI-GTFenQ,958000,260216359,1947,GB,@luetin09
WesHammer,UCSDj6ttwzj2sr464jDdg_pA,893000,399828669,449,US,@weshammer
Squidmar Miniatures,UCDvZTWvHZPTxJ4K1yTD2a1g,775000,110242934,349,SE,@squidmarminiatures
Majorkill,UC_wb8IVtmXwil8bN3IdVtZw,697000,392340232,1118,AU,@majorkill
Play On Tabletop,UCJ4-WFTrDNWvcM7dEC6E2mw,553000,120830769,1176,CA,@playontabletop
MiniWarGaming,UC2mQ7x6K74NBfmxBoMwZCnw,515000,244161045,8955,CA,@miniwargaming
Duncan Rhodes Painting Academy,UCuRNH2cb6VwsZbzILptDVIA,385000,25753377,197,GB,@duncanrhodesdrpa
PancreasNoWork,UCgleHPPvl9LD7jeU2G-XNWw,375000,100173957,291,US,@pancreasnowork9939
EonsOfBattle,UCDNHPNeWScAC8h8IxtEBtkQ,323000,97569033,1107,US,@eonsofbattle
Baldermort's Guide to Warhammer,UCdpGd0jls7VQh6LvcZT_p1A,288000,46587827,691,GB,@baldermort
Arch,UChS9wazLlTUHSTeKVG39hZw,280000,120975394,750,NO,@archyoutube
Mavericks Paint,UCwRXA-gW-2d_qW7-BYxienA,273000,51227916,91,,@mavericknicolson
Games Night,UClhmd2Xe3zrYfuarqV-shKA,265000,52190043,682,GB,@gamesnight
Warrior Tier,UCvPS8A70UM6NZ6zDLo3nQPA,255000,41290932,399,US,@warriortier
Tabletop Tactics,UC_KbSd9fby8UeLU7M6eXeRQ,255000,38349024,583,GB,@tabletoptactics
Zumikito Miniatures,UChvLrvN9TyZ-rCuxPIhUHiA,246000,21208146,137,CZ,@zumikito
Rogue Hobbies ,UCb_76ET84Vohgp3Dqk1KeYQ,230000,11766963,72,GB,@roguehobbies
More Lore,UCFyCWp9xqWZ_GYrupXsnQ2w,216000,117037756,264,CA,@moreloreyt
The Book of Choyer,UC_ynzI9eLoSV2wXXoURzSeQ,214000,33875979,331,,@thebookofchoyer
Imperial Iterator,UCWf1CrEX3Pf4co0GbXKRe3w,214000,182626216,762,US,@imperialiterator
Trovarion Miniatures,UC2mGRYBQqZk6U_qtQxLDROg,210000,26751712,265,AT,@trovarion
Poorhammer,UCXRata4OHGuZQoMQ0HCnNpw,181000,32752598,205,,@thepoorhammerpodcast
Scholar's Lore ,UCHCMymfxe1gU4Ph9QEo_yww,175000,9796624,125,GB,@scholarslore
Vince Venturella,UCgptSaRLvd1QH0SURdQNYgg,171000,26109507,1764,US,@vinceventurella
Mr. Bones 40k,UCGvoBiIcphBQ7DPGs0TukZQ,170000,42994217,482,CA,@thebonezone40k
Tabletop Titans,UC-3TjY277uBsBl8VU8C4nqw,161000,80774599,2251,US,@tabletoptitans
Sergio Calvo Miniatures,UCs8aFalGsl9zNW3CEI5h3sg,157000,20516870,582,ES,@sergiocalvominiatures
The Painting Coach,UC1MWcqIPR8JI1A_I3N0X1VQ,125000,19110499,417,GB,@thepaintingcoach
Counterpoints 40K,UC9bnvsu0ZYzNFijp6mWLUjQ,120000,26125453,192,US,@counterpoints
ABORDER PRINCE,UCz-zxjO6L6FpypwA2iyQ4pg,116000,552037,81,GB,@aborderprince
The Gaming Storyteller,UCfqNN-yFyw3XEiFEbmGv52g,112000,160334002,724,NL,@dutch40kguy
